time,hip_angle,knee_angle,ankle_angle,hip_torque,knee_torque,ankle_torque
3.9980,-30.0000,124.5890,-39.6351,1.7453,-12.1159,-0.2877
3.9990,-30.0000,124.5915,-39.6351,1.7453,-12.1159,-0.2877
4.0000,-30.0000,124.5940,-39.6351,1.7453,-12.1159,-0.2878
4.0010,-30.0000,124.5965,-39.6351,1.7453,-12.1159,-0.2878
4.0020,-30.0000,124.5990,-39.6350,1.7453,-12.1159,-0.2878
4.0030,-30.0000,124.6015,-39.6350,1.7453,-12.1159,-0.2878
4.0040,-30.0000,124.6039,-39.6350,1.7453,-12.1159,-0.2878
4.0050,-30.0000,124.6064,-39.6350,1.7453,-12.1159,-0.2878
4.0060,-30.0000,124.6088,-39.6350,1.7453,-12.1159,-0.2878
4.0070,-30.0000,124.6113,-39.6350,1.7453,-12.1159,-0.2878
4.0080,-30.0000,124.6137,-39.6350,1.7453,-12.1159,-0.2878
4.0090,-30.0000,124.6162,-39.6349,1.7453,-12.1159,-0.2878
4.0100,-30.0000,124.6186,-39.6349,1.7453,-12.1159,-0.2878
4.0110,-30.0000,124.6210,-39.6349,1.7453,-12.1159,-0.2879
4.0120,-30.0000,124.6234,-39.6349,1.7453,-12.1159,-0.2879
4.0130,-30.0000,124.6258,-39.6349,1.7453,-12.1160,-0.2879
4.0140,-30.0000,124.6282,-39.6349,1.7453,-12.1160,-0.2879
4.0150,-30.0000,124.6306,-39.6349,1.7453,-12.1160,-0.2879
4.0160,-30.0000,124.6330,-39.6349,1.7453,-12.1160,-0.2879
4.0170,-30.0000,124.6353,-39.6348,1.7453,-12.1160,-0.2879
4.0180,-30.0000,124.6377,-39.6348,1.7453,-12.1160,-0.2879
4.0190,-30.0000,124.6401,-39.6348,1.7453,-12.1160,-0.2879
4.0200,-30.0000,124.6424,-39.6348,1.7453,-12.1160,-0.2879
4.0210,-30.0000,124.6448,-39.6348,1.7453,-12.1160,-0.2879
4.0220,-30.0000,124.6471,-39.6348,1.7453,-12.1160,-0.2879
4.0230,-30.0000,124.6494,-39.6348,1.7453,-12.1160,-0.2879
4.0240,-30.0000,124.6518,-39.6347,1.7453,-12.1160,-0.2880
4.0250,-30.0000,124.6541,-39.6347,1.7453,-12.1160,-0.2880
4.0260,-30.0000,124.6564,-39.6347,1.7453,-12.1160,-0.2880
4.0270,-30.0000,124.6587,-39.6347,1.7453,-12.1160,-0.2880
4.0280,-30.0000,124.6610,-39.6347,1.7453,-12.1160,-0.2880
4.0290,-30.0000,124.6633,-39.6347,1.7453,-12.1160,-0.2880
4.0300,-30.0000,124.6656,-39.6347,1.7453,-12.1160,-0.2880
4.0310,-30.0000,124.6678,-39.6347,1.7453,-12.1160,-0.2880
4.0320,-30.0000,124.6701,-39.6346,1.7453,-12.1160,-0.2880
4.0330,-30.0000,124.6724,-39.6346,1.7453,-12.1160,-0.2880
4.0340,-30.0000,124.6746,-39.6346,1.7453,-12.1160,-0.2880
4.0350,-30.0000,124.6769,-39.6346,1.7453,-12.1160,-0.2880
4.0360,-30.0000,124.6791,-39.6346,1.7453,-12.1160,-0.2881
4.0370,-30.0000,124.6814,-39.6346,1.7453,-12.1160,-0.2881
4.0380,-30.0000,124.6836,-39.6346,1.7453,-12.1160,-0.2881
